,Label,Monthly economic survey in services - Expected trend of demand - All services activities - SA series,Codes
130,1980-11,,
131,1980-12,,
132,1981-01,,
133,1981-02,,
134,1981-03,,
135,1981-04,,
136,1981-05,,
137,1981-06,,
138,1981-07,,
139,1981-08,,
140,1981-09,,
141,1981-10,,
142,1981-11,,
143,1981-12,,
144,1982-01,,
145,1982-02,,
146,1982-03,,
147,1982-04,,
148,1982-05,,
149,1982-06,,
150,1982-07,,
151,1982-08,,
152,1982-09,,
153,1982-10,,
154,1982-11,,
155,1982-12,,
156,1983-01,,
157,1983-02,,
158,1983-03,,
159,1983-04,,
160,1983-05,,
161,1983-06,,
162,1983-07,,
163,1983-08,,
164,1983-09,,
165,1983-10,,
166,1983-11,,
167,1983-12,,
168,1984-01,,
169,1984-02,,
170,1984-03,,
171,1984-04,,
172,1984-05,,
173,1984-06,,
174,1984-07,,
175,1984-08,,
176,1984-09,,
177,1984-10,,
178,1984-11,,
179,1984-12,,
180,1985-01,,
181,1985-02,,
182,1985-03,,
183,1985-04,,
184,1985-05,,
185,1985-06,,
186,1985-07,,
187,1985-08,,
188,1985-09,,
189,1985-10,,
190,1985-11,,
191,1985-12,,
192,1986-01,,
193,1986-02,,
194,1986-03,,
195,1986-04,,
196,1986-05,,
197,1986-06,,
198,1986-07,,
199,1986-08,,
200,1986-09,,
201,1986-10,,
202,1986-11,,
203,1986-12,,
204,1987-01,,
205,1987-02,,
206,1987-03,,
207,1987-04,,
208,1987-05,,
209,1987-06,,
210,1987-07,,
211,1987-08,,
212,1987-09,,
213,1987-10,,
214,1987-11,,
215,1987-12,,
216,1988-01,14.1,A
217,1988-02,,O
218,1988-03,,O
219,1988-04,13.0,A
220,1988-05,,O
221,1988-06,,O
222,1988-07,12.2,A
223,1988-08,,O
224,1988-09,,O
225,1988-10,2.4,A
226,1988-11,,O
227,1988-12,,O
228,1989-01,15.6,A
229,1989-02,,O
230,1989-03,,O
231,1989-04,15.1,A
232,1989-05,,O
233,1989-06,,O
234,1989-07,13.3,A
235,1989-08,,O
236,1989-09,,O
237,1989-10,14.7,A
238,1989-11,,O
239,1989-12,,O
240,1990-01,14.5,A
241,1990-02,,O
242,1990-03,,O
243,1990-04,9.9,A
244,1990-05,,O
245,1990-06,,O
246,1990-07,5.3,A
247,1990-08,,O
248,1990-09,,O
249,1990-10,2.1,A
250,1990-11,,O
251,1990-12,,O
252,1991-01,-11.4,A
253,1991-02,,O
254,1991-03,,O
255,1991-04,0.5,A
256,1991-05,,O
257,1991-06,,O
258,1991-07,-3.0,A
259,1991-08,,O
260,1991-09,,O
261,1991-10,-2.8,A
262,1991-11,,O
263,1991-12,,O
264,1992-01,-0.9,A
265,1992-02,,O
266,1992-03,,O
267,1992-04,-7.0,A
268,1992-05,,O
269,1992-06,,O
270,1992-07,-9.8,A
271,1992-08,,O
272,1992-09,,O
273,1992-10,-14.5,A
274,1992-11,,O
275,1992-12,,O
276,1993-01,-20.6,A
277,1993-02,,O
278,1993-03,,O
279,1993-04,-15.2,A
280,1993-05,,O
281,1993-06,,O
282,1993-07,-13.8,A
283,1993-08,,O
284,1993-09,,O
285,1993-10,-10.3,A
286,1993-11,,O
287,1993-12,,O
288,1994-01,-3.3,A
289,1994-02,,O
290,1994-03,,O
291,1994-04,2.1,A
292,1994-05,,O
293,1994-06,,O
294,1994-07,5.0,A
295,1994-08,,O
296,1994-09,,O
297,1994-10,9.0,A
298,1994-11,,O
299,1994-12,,O
300,1995-01,7.4,A
301,1995-02,,O
302,1995-03,,O
303,1995-04,1.7,A
304,1995-05,,O
305,1995-06,,O
306,1995-07,0.5,A
307,1995-08,,O
308,1995-09,,O
309,1995-10,-6.1,A
310,1995-11,,O
311,1995-12,,O
312,1996-01,-12.4,A
313,1996-02,,O
314,1996-03,,O
315,1996-04,-5.7,A
316,1996-05,,O
317,1996-06,,O
318,1996-07,-9.9,A
319,1996-08,,O
320,1996-09,,O
321,1996-10,-8.3,A
322,1996-11,,O
323,1996-12,,O
324,1997-01,-1.2,A
325,1997-02,,O
326,1997-03,,O
327,1997-04,-1.4,A
328,1997-05,,O
329,1997-06,,O
330,1997-07,-0.3,A
331,1997-08,,O
332,1997-09,,O
333,1997-10,1.2,A
334,1997-11,,O
335,1997-12,,O
336,1998-01,4.0,A
337,1998-02,,O
338,1998-03,,O
339,1998-04,8.8,A
340,1998-05,,O
341,1998-06,,O
342,1998-07,4.2,A
343,1998-08,,O
344,1998-09,,O
345,1998-10,2.8,A
346,1998-11,,O
347,1998-12,,O
348,1999-01,-1.5,A
349,1999-02,,O
350,1999-03,,O
351,1999-04,1.6,A
352,1999-05,,O
353,1999-06,,O
354,1999-07,4.0,A
355,1999-08,,O
356,1999-09,,O
357,1999-10,14.2,A
358,1999-11,,O
359,1999-12,,O
360,2000-01,8.2,A
361,2000-02,,O
362,2000-03,,O
363,2000-04,9.1,A
364,2000-05,,O
365,2000-06,,O
366,2000-07,13.0,A
367,2000-08,,O
368,2000-09,,O
369,2000-10,11.2,A
370,2000-11,,O
371,2000-12,,O
372,2001-01,12.0,A
373,2001-02,,O
374,2001-03,,O
375,2001-04,-1.4,A
376,2001-05,,O
377,2001-06,,O
378,2001-07,2.1,A
379,2001-08,,O
380,2001-09,,O
381,2001-10,-7.6,A
382,2001-11,,O
383,2001-12,,O
384,2002-01,-4.5,A
385,2002-02,,O
386,2002-03,,O
387,2002-04,2.0,A
388,2002-05,,O
389,2002-06,,O
390,2002-07,-2.1,A
391,2002-08,,O
392,2002-09,,O
393,2002-10,-1.4,A
394,2002-11,,O
395,2002-12,,O
396,2003-01,-2.9,A
397,2003-02,,O
398,2003-03,,O
399,2003-04,-15.1,A
400,2003-05,,O
401,2003-06,,O
402,2003-07,-3.5,A
403,2003-08,,O
404,2003-09,,O
405,2003-10,1.7,A
406,2003-11,,O
407,2003-12,,O
408,2004-01,7.0,A
409,2004-02,,O
410,2004-03,,O
411,2004-04,8.5,A
412,2004-05,,O
413,2004-06,,O
414,2004-07,5.8,A
415,2004-08,4.7,A
416,2004-09,3.6,A
417,2004-10,5.6,A
418,2004-11,5.4,A
419,2004-12,14.3,A
420,2005-01,8.2,A
421,2005-02,10.4,A
422,2005-03,12.8,A
423,2005-04,12.4,A
424,2005-05,9.0,A
425,2005-06,10.1,A
426,2005-07,8.9,A
427,2005-08,8.2,A
428,2005-09,7.5,A
429,2005-10,10.2,A
430,2005-11,7.0,A
431,2005-12,10.4,A
432,2006-01,12.5,A
433,2006-02,8.4,A
434,2006-03,5.9,A
435,2006-04,7.6,A
436,2006-05,14.2,A
437,2006-06,9.8,A
438,2006-07,11.3,A
439,2006-08,11.9,A
440,2006-09,11.8,A
441,2006-10,10.9,A
442,2006-11,14.2,A
443,2006-12,10.0,A
444,2007-01,13.4,A
445,2007-02,14.9,A
446,2007-03,13.1,A
447,2007-04,12.5,A
448,2007-05,11.8,A
449,2007-06,12.0,A
450,2007-07,13.3,A
451,2007-08,13.6,A
452,2007-09,12.6,A
453,2007-10,9.3,A
454,2007-11,10.1,A
455,2007-12,8.2,A
456,2008-01,10.1,A
457,2008-02,7.3,A
458,2008-03,8.5,A
459,2008-04,5.1,A
460,2008-05,3.7,A
461,2008-06,-0.4,A
462,2008-07,-7.1,A
463,2008-08,-10.0,A
464,2008-09,-11.1,A
465,2008-10,-18.3,A
466,2008-11,-23.3,A
467,2008-12,-25.5,A
468,2009-01,-28.4,A
469,2009-02,-29.2,A
470,2009-03,-35.2,A
471,2009-04,-33.7,A
472,2009-05,-28.4,A
473,2009-06,-24.0,A
474,2009-07,-18.5,A
475,2009-08,-16.3,A
476,2009-09,-10.9,A
477,2009-10,-5.6,A
478,2009-11,-4.9,A
479,2009-12,-6.2,A
480,2010-01,-5.6,A
481,2010-02,-5.8,A
482,2010-03,-4.4,A
483,2010-04,0.0,A
484,2010-05,1.9,A
485,2010-06,-1.7,A
486,2010-07,-1.9,A
487,2010-08,0.5,A
488,2010-09,1.3,A
489,2010-10,2.5,A
490,2010-11,4.3,A
491,2010-12,8.6,A
492,2011-01,9.6,A
493,2011-02,11.8,A
494,2011-03,15.0,A
495,2011-04,8.5,A
496,2011-05,5.7,A
497,2011-06,6.3,A
498,2011-07,1.0,A
499,2011-08,-2.2,A
500,2011-09,-4.2,A
501,2011-10,-4.5,A
502,2011-11,-6.2,A
503,2011-12,-7.2,A
504,2012-01,-11.9,A
505,2012-02,-12.7,A
506,2012-03,-10.4,A
507,2012-04,-5.6,A
508,2012-05,-7.5,A
509,2012-06,-9.4,A
510,2012-07,-9.0,A
511,2012-08,-15.3,A
512,2012-09,-13.1,A
513,2012-10,-14.2,A
514,2012-11,-13.9,A
515,2012-12,-12.6,A
516,2013-01,-11.3,A
517,2013-02,-10.9,A
518,2013-03,-15.5,A
519,2013-04,-15.4,A
520,2013-05,-15.4,A
521,2013-06,-14.2,A
522,2013-07,-12.3,A
523,2013-08,-8.7,A
524,2013-09,-4.1,A
525,2013-10,-6.3,A
526,2013-11,-7.3,A
527,2013-12,-8.9,A
528,2014-01,-8.2,A
529,2014-02,-7.7,A
530,2014-03,-5.4,A
531,2014-04,-7.2,A
532,2014-05,-8.0,A
533,2014-06,-8.3,A
534,2014-07,-8.5,A
535,2014-08,-9.2,A
536,2014-09,-8.4,A
537,2014-10,-8.7,A
538,2014-11,-9.1,A
539,2014-12,-8.9,A
540,2015-01,-8.4,A
541,2015-02,-8.3,A
542,2015-03,-7.0,A
543,2015-04,-4.5,A
544,2015-05,-2.8,A
545,2015-06,-2.5,A
546,2015-07,-1.6,A
547,2015-08,-2.0,A
548,2015-09,-3.7,A
549,2015-10,-2.0,A
550,2015-11,-1.6,A
551,2015-12,-4.3,A
552,2016-01,-0.8,A
553,2016-02,0.2,A
554,2016-03,-0.3,A
555,2016-04,-4.2,A
556,2016-05,2.0,A
557,2016-06,-0.7,A
558,2016-07,-0.2,A
559,2016-08,-0.5,A
560,2016-09,1.5,A
561,2016-10,1.8,A
562,2016-11,1.2,A
563,2016-12,4.5,A
564,2017-01,-0.6,A
565,2017-02,1.3,A
566,2017-03,-0.2,A
567,2017-04,2.1,A
568,2017-05,0.0,A
569,2017-06,1.9,A
570,2017-07,0.1,A
571,2017-08,4.9,A
572,2017-09,5.1,A
573,2017-10,5.7,A
574,2017-11,6.0,A
575,2017-12,7.3,A
576,2018-01,6.5,A
577,2018-02,6.0,A
578,2018-03,7.5,A
579,2018-04,4.7,A
580,2018-05,3.9,A
581,2018-06,4.4,A
582,2018-07,5.3,A
583,2018-08,4.8,A
584,2018-09,5.3,A
585,2018-10,2.9,A
586,2018-11,4.4,A
587,2018-12,-0.1,A
588,2019-01,4.5,A
589,2019-02,3.8,A
590,2019-03,4.5,A
591,2019-04,4.3,A
592,2019-05,5.4,A
593,2019-06,4.1,A
594,2019-07,4.2,A
595,2019-08,3.6,A
596,2019-09,4.3,A
597,2019-10,4.9,A
598,2019-11,5.4,A
599,2019-12,5.6,A
600,2020-01,5.1,A
601,2020-02,3.4,A
602,2020-03,-11.6,U
603,2020-04,-69.3,U
604,2020-05,-49.4,U
605,2020-06,-13.9,U
606,2020-07,-3.7,U
607,2020-08,-4.6,U
608,2020-09,-7.2,A
609,2020-10,-16.6,A
610,2020-11,-28.3,A
611,2020-12,-11.1,A
612,2021-01,-7.9,A
613,2021-02,-11.7,A
614,2021-03,-5.8,A
615,2021-04,-8.5,A
616,2021-05,9.7,A
617,2021-06,17.1,A
618,2021-07,11.0,A
619,2021-08,7.2,A
620,2021-09,10.2,A
621,2021-10,14.6,A
622,2021-11,12.5,A
623,2021-12,4.5,A
624,2022-01,2.1,A
625,2022-02,13.0,A
626,2022-03,8.4,A
627,2022-04,5.1,A
628,2022-05,7.5,A
629,2022-06,4.2,A
630,2022-07,3.3,A
631,2022-08,1.7,A
632,2022-09,5.2,A
633,2022-10,2.2,A
634,2022-11,1.0,A
635,2022-12,-0.2,A
